unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786592516,3312792,14240,83886080,19945783296,1915,0,148,148,69,5.5,585201,2163212288,570425344,33554432,6816082,265866,19003,0,96921080,0
1786592526,3306036,14240,83886080,19946831872,1916,0,148,148,87,5.5,585180,2155872256,570425344,33554432,6816082,268780,19004,0,98394568,0
1786592537,3307092,14240,83886080,19946831872,1915,0,148,148,100,5.5,587587,2155872256,570425344,33554432,6816082,270912,19004,0,99474008,0
1786592547,3306248,14240,83886080,19951042560,1915,0,149,149,105,5.5,585250,2155872256,570425344,33554432,6816082,277417,19008,0,102803504,0
1786592557,3317344,14240,83886080,19966787584,1914,0,152,152,92,5.5,593370,2167406592,570425344,33554432,6816082,307254,19023,0,118380976,0
1786592567,3306036,14240,83886080,19969933312,1914,0,153,153,98,5.5,595970,2155872256,570425344,33554432,5767454,313355,19026,0,121487248,0
1786592577,3305756,14240,83886080,19972030464,1914,0,156,156,65,5.5,586998,2155872256,570425344,33554432,6816082,316121,19028,0,122747992,0
1786592587,3305756,14240,83886080,19972030464,1914,0,158,158,59,5.5,588421,2155872256,570425344,33554432,4718826,318503,19028,0,122749040,0
1786592597,3305756,14240,83886080,19972030464,1914,0,160,160,55,5.5,589286,2155872256,570425344,33554432,6816082,323238,19028,0,122749040,0
1786592607,3305756,14240,83886080,19972030464,1914,0,162,162,61,5.5,585182,2155872256,570425344,33554432,6816082,326058,19028,0,122750088,0
1786592617,3306132,14240,83886080,19972030464,1914,0,166,166,58,5.5,585160,2155872256,570425344,33554432,6816082,351532,19028,0,123133656,0
1786592627,3306352,14240,83886080,19972030464,1914,0,170,170,53,5.5,585229,2155872256,570425344,33554432,5243140,357860,19028,0,123355832,0
1786592637,3307548,14240,83886080,19972030464,1914,0,170,170,82,5.5,585160,2155872256,570425344,33554432,6816082,385675,19028,0,124578848,0
1786592647,3308264,14240,83886080,19973079040,1914,0,174,174,64,5.5,587555,2156920832,570425344,33554432,6816082,399889,19029,0,125323976,0
1786592657,3305772,14240,83886080,19975176192,1914,0,174,174,88,5.5,585123,2155872256,570425344,33554432,6816082,406861,19031,0,125915048,0
1786592668,3305780,14240,83886080,19976224768,1914,0,174,174,100,5.5,585211,2155872256,570425344,33554432,6816082,408947,19032,0,126969336,0
1786592678,3307324,14240,83886080,19978330112,1913,0,178,178,72,5.5,593517,2155872256,570425344,33554432,5243140,414226,19034,0,129672128,0
1786592688,3319088,14240,83886080,19997229056,1912,0,178,178,102,5.6,585168,2169503744,570425344,33554432,6816082,449320,19052,0,147936672,0
1786592698,3307736,14240,83886080,19997229056,1912,0,178,178,124,5.6,585307,2155872256,570425344,33554432,6816082,453290,19052,0,149939400,0
1786592709,3307284,14240,83886080,19998277632,1912,0,181,180,106,5.6,585147,2155872256,570425344,33554432,5243140,454424,19053,0,150517896,0
1786592719,3309852,14240,83886080,20005617664,1912,0,183,183,81,5.6,588901,2160066560,570425344,33554432,6816082,465408,19060,0,156299712,0
1786592729,3307928,14240,83886080,20005617664,1912,0,184,184,89,5.6,591139,2155872256,570425344,33554432,6816082,469711,19060,0,158522520,0
1786592739,3311720,14240,83886080,20018216960,1911,0,188,188,59,5.6,586446,2162163712,570425344,33554432,6816082,489338,19072,0,168796064,0
1786592749,3306864,14240,83886080,20030799872,1910,0,188,188,87,5.6,585193,2155872256,570425344,33554432,6816082,515797,19084,0,182596128,0
1786592759,3306984,14240,83886080,20035010560,1910,0,192,192,70,5.6,588408,2156920832,570425344,33554432,6816082,522068,19088,0,185864840,0
1786592769,3306984,14240,83886080,20035010560,1910,0,192,192,84,5.6,585175,2155872256,570425344,33554432,6816082,524148,19088,0,186917032,0
1786592780,3307844,14240,83886080,20036059136,1910,0,192,192,102,5.6,589427,2155872256,570425344,33554432,6816082,528286,19089,0,188842208,0
1786592790,3308380,14240,83886080,20038156288,1909,0,196,196,81,5.6,585730,2157969408,570425344,33554432,6816082,569415,19091,0,189389264,0
1786592801,3305500,14240,83886080,20039204864,1910,0,196,196,102,5.6,585150,2155872256,570425344,33554432,6816082,574742,19092,0,189591528,0
1786592811,3305680,14240,83886080,20039204864,1910,0,198,197,110,5.6,587709,2155872256,570425344,33554432,5243140,578592,19092,0,189770736,0
1786592821,3306100,14240,83886080,20039204864,1910,0,201,201,69,5.6,587656,2155872256,570425344,33554432,6816082,587129,19092,0,190209848,0
1786592831,3306628,14240,83886080,20039204864,1910,0,201,201,92,5.6,588672,2155872256,570425344,33554432,6816082,597124,19092,0,190744328,0
1786592841,3306940,14240,83886080,20039204864,1909,0,202,202,94,5.6,588414,2155872256,570425344,33554432,6816082,603281,19092,0,191061872,0
1786592851,3309088,14240,83886080,20041302016,1909,0,205,205,87,5.7,592975,2157969408,570425344,33554432,6816082,645408,19094,0,193262672,0
1786592861,3306352,14240,83886080,20043399168,1909,0,209,209,62,5.7,586756,2155872256,570425344,33554432,6816082,651616,19096,0,194656512,0
1786592871,3306728,14240,83886080,20047609856,1909,0,209,209,87,5.7,586039,2155872256,570425344,33554432,6816082,660445,19100,0,199244656,0
1786592882,3307816,14240,83886080,20047609856,1909,0,210,210,89,5.7,586045,2155872256,570425344,33554432,6816082,661791,19100,0,199932144,0
1786592892,3308612,14240,83886080,20051804160,1909,0,214,214,62,5.7,586487,2156920832,570425344,33554432,6816082,669437,19104,0,203897776,0
1786592903,3307568,14240,83886080,20055998464,1908,0,216,216,62,5.7,587681,2155872256,570425344,33554432,5767454,677406,19108,0,208066720,0
1786592913,3310848,14240,83886080,20061245440,1908,0,218,218,68,5.7,586154,2157969408,570425344,33554432,6816082,688479,19113,0,213928184,0
1786592923,3314992,14240,83886080,20076986368,1907,0,221,221,68,5.7,585205,2163212288,570425344,33554432,6816082,716205,19128,0,228573984,0
1786592933,3316132,14240,83886080,20089585664,1906,0,225,225,62,5.7,588528,2164260864,570425344,33554432,6816082,740507,19140,0,241299848,0
1786592943,3307696,14240,83886080,20091682816,1906,0,225,225,82,5.7,593050,2155872256,570425344,33554432,6816082,744157,19142,0,243110792,0
1786592953,3307652,14240,83886080,20093779968,1906,0,227,226,82,5.7,589947,2155872256,570425344,33554432,4980983,748157,19144,0,245184784,0
1786592964,3312564,14240,83886080,20101132288,1906,0,229,229,78,5.7,591458,2161115136,570425344,33554432,6816082,761680,19151,0,252292320,0
1786592974,3308096,14240,83886080,20104282112,1905,0,233,233,57,5.7,592611,2155872256,570425344,33554432,6816082,768973,19154,0,256105992,0
1786592984,3307448,14240,83886080,20105330688,1905,0,233,233,69,5.7,585042,2155872256,570425344,33554432,6816082,769758,19155,0,256494800,0
1786592994,3307448,14240,83886080,20105330688,1905,0,234,233,91,5.7,593275,2155872256,570425344,33554432,5243140,773525,19155,0,256496896,0
1786593004,3307804,14240,83886080,20106379264,1905,0,237,237,82,5.7,591882,2156920832,570425344,33554432,6816082,816245,19156,0,256857408,0
1786593014,3307224,14240,83886080,20106379264,1905,0,237,237,105,5.7,585155,2155872256,570425344,33554432,6816082,823231,19156,0,257098448,0
1786593024,3307756,14240,83886080,20106379264,1905,0,241,241,86,5.8,585195,2155872256,570425344,33554432,6816082,836314,19156,0,257646552,0
1786593034,3308028,14240,83886080,20106379264,1905,0,241,241,106,5.8,590034,2155872256,570425344,33554432,6816082,841703,19156,0,257922176,0
1786593045,3308076,14240,83886080,20106379264,1905,0,243,242,105,5.8,595171,2155872256,570425344,33554432,4194512,842657,19156,0,257970384,0
1786593056,3309492,14240,83886080,20107427840,1904,0,245,245,91,5.8,585288,2156920832,570425344,33554432,6816082,870846,19157,0,259418720,0
1786593066,3307780,14240,83886080,20108476416,1904,0,245,245,114,5.8,593010,2155872256,570425344,33554432,6816082,876849,19158,0,259764560,0
