unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb
1786086375,2012012,14240,83886080,13603020800,1566,0,1243,1243,42,7.7,622142
1786086385,2004968,14240,83886080,13632413696,1564,0,1251,1251,34,7.7,618056
1786086395,2008720,14240,83886080,13666000896,1563,0,1257,1257,36,7.7,621049
1786086406,2003028,14240,83886080,13675446272,1563,0,1259,1259,51,7.7,625646
1786086416,2002380,14240,83886080,13700636672,1561,0,1267,1267,31,7.7,620296
1786086426,2011804,14240,83886080,13734223872,1560,0,1271,1271,41,7.7,618061
1786086436,2002828,14240,83886080,13753118720,1559,0,1275,1275,46,7.7,625310
1786086446,2016820,14240,83886080,13773053952,1558,0,1279,1279,50,7.7,617991
1786086457,2003164,14240,83886080,13800349696,1557,0,1287,1287,32,7.7,618027
1786086467,2013392,14240,83886080,13836034048,1556,0,1291,1291,41,7.7,619655
1786086477,2002452,14240,83886080,13866471424,1554,0,1296,1296,44,7.7,620293
1786086487,2010636,14240,83886080,13926301696,1554,0,1303,1303,37,7.7,618025
1786086497,2003256,14240,83886080,13990326272,1554,0,1308,1308,44,7.7,621909
1786086507,2002452,14240,83886080,14045954048,1554,0,1316,1316,29,7.7,621670
1786086517,2012988,14240,83886080,14111027200,1554,0,1320,1320,41,7.7,623799
1786086527,2003408,14240,83886080,14178209792,1555,0,1328,1328,31,7.7,623754
1786086537,2016280,14240,83886080,14229635072,1555,0,1332,1332,42,7.7,620545
1786086548,2007260,14240,83886080,14303105024,1557,0,1340,1340,34,7.7,618094
1786086558,2010140,14240,83886080,14367133696,1556,0,1346,1346,36,7.7,618064
1786086568,2003012,14240,83886080,14399672320,1558,0,1352,1352,34,7.6,620774
1786086578,2003572,14240,83886080,14434312192,1559,0,1358,1358,36,7.6,622950
1786086588,2002472,14240,83886080,14467895296,1561,0,1365,1364,40,7.6,618237
1786086598,2002876,14240,83886080,14506729472,1562,0,1372,1372,32,7.6,617984
1786086608,2004152,14240,83886080,14543466496,1563,0,1378,1378,35,7.6,617903
1786086618,2003348,14240,83886080,14578106368,1565,0,1384,1384,36,7.6,620048
1786086628,2002948,14240,83886080,14608539648,1565,0,1391,1391,32,7.6,621190
1786086638,2002880,14240,83886080,14636879872,1566,0,1396,1396,39,7.6,618034
1786086648,2001580,14240,83886080,14682013696,1568,0,1404,1404,31,7.6,620822
1786086658,2002440,14240,83886080,14691454976,1568,0,1404,1404,52,7.6,620728
1786086669,2004592,14240,83886080,14718750720,1569,0,1408,1408,53,7.6,617976
1786086679,2001856,14240,83886080,14763880448,1571,0,1416,1416,34,7.6,624151
1786086689,2004192,14240,83886080,14794321920,1572,0,1421,1421,41,7.6,618319
1786086700,2003296,14240,83886080,14802718720,1572,0,1424,1424,44,7.6,621606
1786086710,2003180,14240,83886080,14849949696,1574,0,1432,1432,34,7.6,618636
1786086720,2002756,14240,83886080,14882488320,1575,0,1437,1437,41,7.6,621886
1786086730,2001932,14240,83886080,14916075520,1577,0,1444,1444,33,7.6,617950
1786086740,2003800,14240,83886080,14948614144,1577,0,1450,1450,39,7.6,617961
1786086750,2002516,14240,83886080,14988496896,1579,0,1457,1457,34,7.6,620877
1786086760,2002516,14240,83886080,15012638720,1580,0,1462,1462,41,7.6,619806
1786086770,2004084,14240,83886080,15053570048,1581,0,1470,1470,33,7.6,620274
1786086780,2003032,14240,83886080,15084011520,1582,0,1474,1474,45,7.6,618121
1786086790,2001788,14240,83886080,15125995520,1584,0,1482,1482,37,7.6,621717
1786086801,2003852,14240,83886080,15152234496,1584,0,1486,1486,43,7.6,620816
1786086811,2002704,14240,83886080,15203663872,1586,0,1494,1494,32,7.6,617952
1786086821,2002012,14240,83886080,15234101248,1587,0,1498,1498,38,7.6,620864
1786086831,2003644,14240,83886080,15261392896,1588,0,1502,1502,44,7.6,618086
1786086841,2003156,14240,83886080,15307575296,1590,0,1510,1510,34,7.6,619775
1786086851,2002116,14240,83886080,15339065344,1591,0,1515,1515,38,7.6,619446
1786086861,2002240,14240,83886080,15365304320,1592,0,1519,1519,46,7.6,617956
1786086871,2003076,14240,83886080,15411486720,1594,0,1527,1527,34,7.6,620269
1786086881,2002096,14240,83886080,15444025344,1595,0,1532,1532,37,7.6,620193
1786086891,2002748,14240,83886080,15473410048,1596,0,1539,1539,31,7.6,619205
1786086901,2003436,14240,83886080,15504900096,1597,0,1544,1544,38,7.6,618446
1786086911,2002016,14240,83886080,15534288896,1598,0,1552,1552,31,7.6,625530
1786086922,2003408,14240,83886080,15565778944,1599,0,1557,1557,38,7.6,620085
1786086932,2002944,14240,83886080,15610908672,1600,0,1564,1564,33,7.7,618499
1786086942,2002876,14240,83886080,15644495872,1601,0,1569,1569,39,7.7,617924
1786086952,2002664,14240,83886080,15680188416,1602,0,1577,1577,29,7.7,622765
1786086962,2003840,14240,83886080,15720067072,1604,0,1581,1581,38,7.7,620733
1786086973,2003800,14240,83886080,15728467968,1604,0,1582,1582,50,7.7,626858
1786086983,2003232,14240,83886080,15781994496,1606,0,1590,1590,34,7.7,621728
1786086993,2004124,14240,83886080,15808237568,1607,0,1594,1594,43,7.7,619204
1786087003,2002692,14240,83886080,15844970496,1609,0,1602,1602,32,7.7,617950
1786087013,2003896,14240,83886080,15880658944,1610,0,1607,1607,38,7.7,620021
1786087023,2001624,14240,83886080,15914246144,1611,0,1612,1612,44,7.7,624448
1786087033,2001908,14240,83886080,15958327296,1613,0,1619,1619,38,7.7,623965
1786087043,2003064,14240,83886080,15994015744,1614,0,1624,1624,42,7.7,619755
1786087053,2003588,14240,83886080,16045445120,1615,0,1632,1632,32,7.7,623968
1786087063,2001880,14240,83886080,16073785344,1616,0,1636,1636,43,7.7,622818
1786087074,2001960,14240,83886080,16106323968,1617,0,1640,1640,42,7.7,622269
1786087084,2003984,14240,83886080,16134664192,1618,0,1644,1644,42,7.7,619939
1786087094,2002548,14240,83886080,16178745344,1619,0,1652,1652,31,7.7,619567
1786087104,2003436,14240,83886080,16193441792,1619,0,1657,1657,34,7.7,619187
1786087114,2004124,14240,83886080,16208134144,1619,0,1661,1661,43,7.7,617945
1786087124,2002644,14240,83886080,16217583616,1619,0,1669,1669,35,7.7,622206
1786087134,2004476,14240,83886080,16219684864,1619,0,1673,1673,45,7.7,620378
1786087144,2003476,14240,83886080,16221782016,1619,0,1678,1678,45,7.7,618737
1786087154,2002704,14240,83886080,16225980416,1619,0,1686,1686,35,7.7,617951
1786087164,2002528,14240,83886080,16228077568,1619,0,1689,1689,42,7.7,618012
1786087175,2009980,14240,83886080,16241725440,1619,0,1694,1694,37,7.7,617907
1786087185,2008748,14240,83886080,16270057472,1618,0,1701,1701,36,7.7,618040
1786087195,2002904,14240,83886080,16300498944,1618,0,1707,1707,38,7.7,622964
1786087205,2002436,14240,83886080,16301547520,1618,0,1709,1709,48,7.7,617952
