unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786241434,3339328,14240,83886080,21364850688,1691,0,370,370,72,6.7,626969,2156920832,570425344,33554432,6816082
1786241444,3346580,14240,83886080,21386887168,1690,0,374,374,64,6.7,618112,2165309440,570425344,33554432,6291768
1786241454,3351744,14240,83886080,21409988608,1688,0,376,376,75,6.7,619771,2169503744,570425344,33554432,6816082
1786241464,3355520,14240,83886080,21435170816,1687,0,380,380,72,6.8,619704,2174746624,570425344,33554432,6816082
1786241474,3345636,14240,83886080,21451964416,1686,0,384,384,66,6.8,618815,2164260864,570425344,33554432,6816082
1786241484,3345964,14240,83886080,21472960512,1684,0,388,388,60,6.8,622176,2163212288,570425344,33554432,6291768
1786241495,3344552,14240,83886080,21498200064,1683,0,390,390,74,6.8,619936,2163212288,570425344,33554432,6816082
1786241505,3349376,14240,83886080,21518139392,1681,0,394,394,68,6.8,619345,2168455168,570425344,33554432,6816082
1786241515,3347752,14240,83886080,21535981568,1680,0,398,398,62,6.8,617914,2165309440,570425344,33554432,6816082
1786241525,3344876,14240,83886080,21560131584,1679,0,402,402,57,6.8,617988,2164260864,570425344,33554432,6816082
1786241535,3338068,14240,83886080,21577973760,1678,0,404,404,70,6.8,623421,2155872256,570425344,33554432,6816082
1786241545,3349308,14240,83886080,21602107392,1676,0,408,408,66,6.9,619405,2168455168,570425344,33554432,6816082
1786241555,3346328,14240,83886080,21624143872,1675,0,410,410,78,6.9,617924,2164260864,570425344,33554432,6816082
1786241565,3354960,14240,83886080,21649342464,1673,0,414,414,74,6.9,617911,2173698048,570425344,33554432,6816082
1786241575,3338584,14240,83886080,21655633920,1673,0,417,416,78,6.9,617916,2156920832,570425344,33554432,5243140
1786241586,3337828,14240,83886080,21657739264,1673,0,418,418,76,6.9,621262,2156920832,570425344,33554432,6816082
1786241596,3337540,14240,83886080,21657739264,1672,0,418,418,92,6.8,628724,2155872256,570425344,33554432,6816082
1786241607,3356552,14240,83886080,21678727168,1671,0,422,422,79,6.8,620003,2174746624,570425344,33554432,6816082
1786241617,3348796,14240,83886080,21699723264,1670,0,426,426,65,6.9,618392,2167406592,570425344,33554432,6816082
1786241627,3344200,14240,83886080,21716516864,1669,0,430,430,60,6.9,619341,2162163712,570425344,33554432,6816082
1786241637,3341068,14240,83886080,21739606016,1667,0,434,434,55,6.9,621936,2160066560,570425344,33554432,6816082
1786241647,3337520,14240,83886080,21757444096,1666,0,436,436,67,6.9,619444,2155872256,570425344,33554432,6816082
1786241657,3337504,14240,83886080,21760593920,1665,0,440,440,63,6.9,619046,2155872256,570425344,33554432,5767454
1786241667,3339168,14240,83886080,21762695168,1662,0,443,443,70,6.9,617938,2157969408,570425344,33554432,6816082
1786241677,3338548,14240,83886080,21762695168,1658,0,447,447,63,6.9,619795,2155872256,570425344,33554432,6291768
1786241687,3337684,14240,83886080,21764796416,1656,0,450,450,66,6.9,620665,2155872256,570425344,33554432,6816082
1786241698,3337056,14240,83886080,21766897664,1652,0,454,454,64,6.9,621354,2155872256,570425344,33554432,6816082
1786241708,3338348,14240,83886080,21766897664,1649,0,458,458,57,7.0,617964,2155872256,570425344,33554432,5767454
1786241718,3338496,14240,83886080,21768994816,1647,0,460,460,69,7.0,617941,2156920832,570425344,33554432,6816082
1786241728,3337740,14240,83886080,21771091968,1643,0,464,464,64,7.0,617980,2156920832,570425344,33554432,6816082
1786241738,3337864,14240,83886080,21771091968,1641,0,468,468,60,7.0,620011,2155872256,570425344,33554432,5767454
1786241748,3337868,14240,83886080,21772140544,1638,0,470,470,74,7.0,618871,2155872256,570425344,33554432,6816082
1786241758,3338088,14240,83886080,21773189120,1635,0,474,474,70,7.0,617922,2155872256,570425344,33554432,6816082
1786241768,3337260,14240,83886080,21775286272,1632,0,478,478,64,7.0,617966,2155872256,570425344,33554432,6816082
1786241778,3338468,14240,83886080,21776338944,1629,0,480,480,78,7.0,619393,2156920832,570425344,33554432,6816082
1786241788,3337528,14240,83886080,21776338944,1629,0,482,481,89,7.0,617880,2155872256,570425344,33554432,4718826
1786241798,3338920,14240,83886080,21777387520,1625,0,484,484,92,7.0,619554,2156920832,570425344,33554432,6816082
1786241809,3339124,14240,83886080,21779488768,1622,0,488,488,77,7.0,621063,2157969408,570425344,33554432,6816082
1786241819,3338232,14240,83886080,21780537344,1619,0,492,492,71,7.0,621904,2156920832,570425344,33554432,6816082
1786241829,3338124,14240,83886080,21780537344,1617,0,496,496,65,7.0,617919,2155872256,570425344,33554432,6816082
1786241839,3338232,14240,83886080,21781590016,1614,0,500,500,57,7.0,623570,2155872256,570425344,33554432,5243140
1786241849,3338408,14240,83886080,21783691264,1611,0,502,502,73,7.1,619208,2156920832,570425344,33554432,6816082
1786241859,3338408,14240,83886080,21784739840,1609,0,506,506,68,7.1,619427,2156920832,570425344,33554432,6816082
1786241869,3337208,14240,83886080,21785788416,1606,0,510,510,59,7.1,623669,2155872256,570425344,33554432,6816082
