unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786695089,3299484,14240,83886080,20319453184,1890,0,225,225,87,6.2,581189,2155872256,570425344,33554432,6816082,900785,19359,0,470189336,21978152960,0
1786695100,3300856,14240,83886080,20321550336,1890,0,226,226,88,6.2,586464,2155872256,570425344,33554432,6816082,905566,19361,0,472643752,21978152960,0
1786695110,3305632,14240,83886080,20329943040,1890,0,230,230,59,6.2,583864,2162163712,570425344,33554432,6816082,921128,19369,0,480736408,21978152960,0
1786695120,3302136,14240,83886080,20338343936,1889,0,230,230,85,6.2,581043,2155872256,570425344,33554432,6816082,938065,19377,0,489683184,21978152960,0
1786695130,3307496,14240,83886080,20350930944,1888,0,234,234,71,6.2,586130,2163212288,570425344,33554432,6816082,962253,19389,0,502509656,21978152960,0
1786695140,3299572,14240,83886080,20355137536,1888,0,238,237,62,6.2,579076,2155872256,570425344,33554432,4718826,968730,19393,0,505927184,21978152960,0
1786695150,3300888,14240,83886080,20356186112,1887,0,238,238,71,6.2,588031,2156920832,570425344,33554432,6816082,971337,19394,0,507277008,21978152960,0
1786695161,3299640,14240,83886080,20361428992,1887,0,242,242,47,6.2,580948,2155872256,570425344,33554432,6816082,981005,19399,0,512328368,21978152960,0
1786695171,3299696,14240,83886080,20364574720,1887,0,243,242,75,6.2,580538,2155872256,570425344,33554432,5243140,987161,19402,0,515497520,21978152960,0
1786695181,3306284,14240,83886080,20371931136,1886,0,246,246,68,6.2,579068,2162163712,570425344,33554432,6816082,1002296,19409,0,523291496,21978152960,0
1786695191,3304876,14240,83886080,20382429184,1885,0,250,250,64,6.2,579105,2161115136,570425344,33554432,6816082,1021453,19419,0,533378496,21978152960,0
1786695201,3304244,14240,83886080,20390821888,1885,0,254,254,54,6.2,579170,2160066560,570425344,33554432,6816082,1038284,19427,0,542217328,21978152960,0
1786695211,3299984,14240,83886080,20401324032,1884,0,254,254,81,6.2,586021,2155872256,570425344,33554432,6816082,1057959,19437,0,552488776,21978152960,0
1786695221,3300524,14240,83886080,20401324032,1884,0,254,254,88,6.1,582532,2155872256,570425344,33554432,6816082,1059043,19437,0,553045264,21978152960,0
1786695232,3305636,14240,83886080,20411809792,1883,0,258,258,80,6.1,585193,2162163712,570425344,33554432,6816082,1076788,19447,0,562472024,21978152960,0
1786695242,3304392,14240,83886080,20420214784,1882,0,262,262,59,6.1,580884,2160066560,570425344,33554432,6816082,1094461,19455,0,571682896,21978152960,0
1786695252,3299616,14240,83886080,20422311936,1882,0,262,262,75,6.1,579166,2155872256,570425344,33554432,6816082,1097223,19457,0,573085120,21978152960,0
1786695262,3300404,14240,83886080,20424409088,1882,0,263,263,82,6.1,579152,2155872256,570425344,33554432,6816082,1102841,19459,0,575987032,21978152960,0
1786695273,3304884,14240,83886080,20430704640,1881,0,267,267,60,6.1,581122,2160066560,570425344,33554432,6291768,1116270,19465,0,582844096,21978152960,0
1786695283,3302688,14240,83886080,20441202688,1880,0,268,268,77,6.1,582785,2157969408,570425344,33554432,6816082,1135747,19475,0,593020176,21978152960,0
1786695293,3307124,14240,83886080,20452745216,1880,0,272,272,67,6.1,593199,2163212288,570425344,33554432,6816082,1156477,19486,0,603851256,21978152960,0
1786695303,3300212,14240,83886080,20456947712,1879,0,276,276,49,6.1,581284,2155872256,570425344,33554432,4194512,1165047,19490,0,608364992,21978152960,0
1786695313,3306532,14240,83886080,20464291840,1878,0,276,276,76,6.1,583968,2162163712,570425344,33554432,6816082,1179117,19497,0,615816272,21978152960,0
1786695323,3299712,14240,83886080,20467445760,1878,0,280,280,65,6.1,579896,2155872256,570425344,33554432,6816082,1196202,19500,0,618270688,21978152960,0
1786695333,3299716,14240,83886080,20467445760,1878,0,280,280,80,6.0,581193,2155872256,570425344,33554432,6816082,1198202,19500,0,618274880,21978152960,0
1786695343,3299740,14240,83886080,20467445760,1878,0,284,284,63,6.0,579046,2155872256,570425344,33554432,6816082,1207456,19500,0,618297936,21978152960,0
1786695354,3299764,14240,83886080,20467445760,1878,0,288,288,45,6.0,579670,2155872256,570425344,33554432,6291768,1217100,19500,0,618323088,21978152960,0
1786695364,3299852,14240,83886080,20467445760,1878,0,288,288,74,6.0,581262,2155872256,570425344,33554432,6816082,1241189,19500,0,618412168,21978152960,0
