unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785917647,603040,14240,83886080,0,0,0,6551,6551,13,7.2
1785917657,599444,14240,83886080,0,0,0,6581,6580,15,7.2
1785917667,600028,14240,83886080,0,0,0,6613,6613,12,7.2
1785917677,598832,14240,83886080,0,0,0,6645,6645,13,7.2
1785917687,597068,14240,83886080,0,0,0,6675,6675,15,7.2
1785917697,596652,14240,83886080,0,0,0,6707,6707,15,7.2
1785917707,598112,14240,83886080,0,0,0,6739,6739,12,7.2
1785917717,598840,14240,83886080,0,0,0,6769,6769,14,7.2
1785917727,596208,14240,83886080,0,0,0,6805,6805,13,7.2
1785917737,598620,14240,83886080,0,0,0,6839,6839,12,7.2
1785917748,596552,14240,83886080,0,0,0,6867,6867,12,7.2
1785917758,603368,14240,83886080,0,0,0,6901,6901,13,7.2
1785917768,598204,14240,83886080,0,0,0,6934,6934,13,7.2
1785917778,600528,14240,83886080,0,0,0,6966,6965,13,7.2
1785917788,596340,14240,83886080,0,0,0,7000,6999,14,7.2
1785917798,601708,14240,83886080,0,0,0,7033,7033,14,7.2
1785917808,600352,14240,83886080,0,0,0,7066,7066,12,7.2
1785917818,598240,14240,83886080,0,0,0,7099,7099,13,7.3
1785917828,599444,14240,83886080,0,0,0,7132,7132,15,7.3
1785917838,595608,14240,83886080,0,0,0,7164,7164,13,7.3
1785917848,600524,14240,83886080,0,0,0,7198,7198,12,7.3
1785917859,601672,14240,83886080,0,0,0,7227,7227,17,7.3
1785917869,601152,14240,83886080,0,0,0,7261,7261,13,7.3
1785917879,598396,14240,83886080,0,0,0,7294,7294,14,7.3
1785917889,599908,14240,83886080,0,0,0,7328,7328,11,7.3
1785917899,598240,14240,83886080,0,0,0,7360,7360,14,7.3
1785917909,598184,14240,83886080,0,0,0,7394,7394,12,7.3
1785917919,598048,14240,83886080,0,0,0,7426,7426,13,7.3
1785917929,599976,14240,83886080,0,0,0,7459,7459,14,7.3
1785917939,598836,14240,83886080,0,0,0,7493,7493,14,7.3
1785917949,596308,14240,83886080,0,0,0,7524,7524,12,7.3
1785917959,597844,14240,83886080,0,0,0,7556,7556,14,7.3
1785917969,599696,14240,83886080,0,0,0,7590,7590,14,7.3
1785917979,598548,14240,83886080,0,0,0,7622,7622,13,7.3
1785917990,599420,14240,83886080,0,0,0,7654,7654,16,7.3
1785918000,599012,14240,83886080,0,0,0,7686,7685,17,7.3
1785918010,600988,14240,83886080,0,0,0,7720,7720,13,7.3
1785918020,599384,14240,83886080,0,0,0,7751,7751,14,7.3
1785918030,604816,14240,83886080,0,0,0,7783,7783,14,7.3
1785918040,598220,14240,83886080,0,0,0,7815,7815,13,7.3
1785918050,602740,14240,83886080,0,0,0,7849,7849,12,7.3
1785918060,598244,14240,83886080,0,0,0,7881,7881,12,7.3
1785918070,601876,14240,83886080,0,0,0,7913,7913,13,7.3
1785918080,600024,14240,83886080,0,0,0,7947,7947,11,7.3
1785918090,599424,14240,83886080,0,0,0,7976,7975,14,7.3
1785918100,600204,14240,83886080,0,0,0,8010,8009,13,7.3
