# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu_core/cycles/P'
# Event count (approx.): 17180652278
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7f6a
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7fc6
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8193dac
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8193e25
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7faf9cb
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8008295
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8797
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa280
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a942f
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8066
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8141a52
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d85b0
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8177cb2
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8a14
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bc3a4
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bcddd
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa829c737
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa262
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b709d
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8167
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d87c1
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a9524
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bce41
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8141e6e
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa932d0e8
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa809e5a2
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7f5a
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8202cd0
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8665
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817324c
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a9444
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8788
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8177f5a
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8679
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8194797
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa92fb8ed
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80db982
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80f36a5
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b89ba
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8141e63
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817323e
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8177caa
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8a56
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8193dea
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa829cbb0
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d814b
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80f3699
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc3e42
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7187
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80db9a6
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81773fe
