unix_s,vmrss_kb,disk_used_bytes,wal_bytes,flush_bytes,user_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,sqes_per_submit
1786053331,268060,1272205312,69982224780,35535925248,68922354800,1645,0,1041,1040,1.4
1786053341,267864,1055977472,70629333718,35858370560,69559555520,1647,0,1051,1051,1.4
1786053351,268144,1210277888,71220615386,36283019264,70141854640,1649,0,1059,1059,1.4
1786053361,269264,1072771072,71818035690,36684492800,70730103600,1652,0,1067,1067,1.4
1786053371,267884,1025519616,72569030346,36906819584,71469716240,1648,0,1079,1079,1.4
1786053381,268344,1275346944,73182197778,37292486656,72073531920,1647,0,1088,1088,1.4
1786053391,268360,1107410944,73912929766,37528526848,72793126640,1647,0,1099,1099,1.4
1786053401,268176,1308946432,74458058806,38000599040,73329953840,1650,0,1108,1107,1.4
1786053411,268008,906919936,74962470192,38271406080,73826622480,1652,0,1114,1114,1.4
1786053422,268120,1149382656,75670091520,38514810880,74523519200,1649,0,1125,1125,1.4
1786053432,267840,1256452096,76288325970,38892044288,75132324800,1647,0,1134,1134,1.4
1786053442,268924,1083265024,77017860302,39122817024,75850743280,1647,0,1145,1145,1.4
1786053452,267896,1419157504,77575883572,39594885120,76400279280,1648,0,1154,1154,1.4
1786053462,267760,932106240,78221995468,39915216896,77036484720,1651,0,1164,1163,1.4
1786053472,267904,1170378752,78967474222,40154411008,77770656080,1648,0,1173,1173,1.4
1786053482,267912,1178775552,79544405120,40567472128,78338774800,1649,0,1183,1183,1.4
1786053492,267980,1172496384,80254542990,40830914560,79038112400,1647,0,1193,1193,1.4
1786053502,266900,1363521536,80804705014,41292439552,79579883760,1648,0,1201,1201,1.4
1786053512,268740,962555904,81495676368,41564307456,80260313120,1651,0,1212,1212,1.4
1786053522,268836,1175625728,82098506198,41778204672,80853981520,1648,0,1221,1220,1.4
1786053532,269188,1256456192,82753574520,42129100800,81499064400,1648,0,1231,1231,1.4
1786053542,268132,1038127104,83400503318,42449432576,82136124720,1647,0,1240,1240,1.4
1786053553,267716,1351979008,83964370588,42899378176,82691401520,1648,0,1249,1249,1.4
1786053563,268128,959401984,84652691762,43179667456,83369230880,1650,0,1259,1259,1.4
1786053573,269580,1068568576,85380830926,43424133120,84086309840,1648,0,1270,1270,1.4
1786053583,268500,1291096064,86012396768,43782402048,84708237120,1649,0,1280,1280,1.4
1786053593,268204,1196638208,86666640362,44092203008,85352510880,1647,0,1290,1290,1.4
1786053603,268160,1132597248,87207782108,44567429120,85885397520,1649,0,1298,1297,1.4
1786053613,271948,903766016,87862557708,44877221888,86530166320,1650,0,1306,1306,1.4
1786053623,266384,1063313408,88529316108,45037387776,87186822320,1648,0,1318,1318,1.4
1786053633,268260,1296338944,89148671204,45406191616,87796726160,1648,0,1326,1326,1.4
1786053643,267484,1159897088,89854831910,45673844736,88492123200,1647,0,1337,1337,1.4
1786053653,268704,1146236928,90370833570,46199648256,89000241200,1649,0,1345,1345,1.4
1786053664,267384,914259968,91061847330,46506283008,89680702800,1650,0,1354,1354,1.4
1786053674,268324,1115795456,91841514776,46708596736,90448556640,1647,0,1366,1366,1.4
1786053684,268492,1119993856,92432832062,47117447168,91030786080,1649,0,1375,1375,1.4
1786053694,267780,1109512192,93170057278,47376670720,91756826720,1646,0,1386,1386,1.4
1786053704,267956,1234415616,93674992840,47906693120,92254021600,1651,0,1393,1393,1.4
1786053714,269092,954146816,94399248864,48164851712,92967273360,1649,0,1404,1403,1.4
1786053724,266944,1221824512,95054602868,48433561600,93612670320,1647,0,1415,1414,1.4
1786053734,267952,1133637632,95652349052,48749670400,94201257280,1649,0,1423,1422,1.4
1786053744,268288,1260662784,96384715788,49012056064,94922508720,1646,0,1435,1434,1.4
1786053754,267632,1123147776,96880946240,49548398592,95411113200,1652,0,1441,1441,1.4
1786053764,268576,1101099008,97604791876,49796022272,96123961440,1649,0,1452,1452,1.4
1786053774,267496,1127354368,98304772450,50092126208,96813303600,1647,0,1462,1462,1.4
1786053785,268640,1173528576,98975996260,50408239104,97474270400,1648,0,1471,1471,1.4
1786053795,268464,1367724032,99636593116,50738057216,98124833040,1646,0,1483,1483,1.4
1786053805,266944,1175629824,100269883778,51219611648,98748434720,1651,0,1491,1491,1.4
1786053815,269780,1177726976,101117302720,51491471360,99582984800,1648,0,1505,1505,1.4
1786053825,268228,1155686400,101775305972,51873976320,100230969280,1648,0,1514,1514,1.4
1786053835,268692,1211330560,102457692702,52199583744,100902934080,1647,0,1524,1524,1.4
1786053845,267064,1294249984,103097662860,52687458304,101533151200,1650,0,1533,1533,1.4
1786053855,267728,1076957184,103905891576,53008838656,102329074640,1649,0,1546,1545,1.4
1786053865,267540,1234419712,104738742102,53301780480,103149261280,1647,0,1558,1557,1.4
1786053875,268692,1137844224,105408868816,53744345088,103809135040,1648,0,1569,1569,1.4
1786053885,268184,1323626496,106074988942,54200602624,104465121280,1649,0,1578,1578,1.4
1786053895,267800,988790784,106859671902,54538854400,105237836080,1650,0,1590,1590,1.4
1786053906,268232,1156751360,107676998660,54842335232,106042747200,1648,0,1602,1602,1.4
1786053916,267384,1422303232,108394070346,55243800576,106748856240,1649,0,1612,1612,1.4
1786053926,268648,1232322560,108985743750,55592587264,107331536000,1647,0,1621,1621,1.4
1786053936,268356,1087463424,109578605480,56121556992,107915319200,1651,0,1631,1631,1.4
1786053946,267560,1039171584,110487906396,56342835200,108810812240,1649,0,1644,1644,1.4
1786053956,268660,1436995584,111227181976,56742199296,109538838240,1649,0,1655,1655,1.4
1786053966,267740,1222873088,112022303586,57066749952,110321833440,1647,0,1667,1666,1.4
1786053976,268840,1142046720,112562785934,57659998208,110854040960,1651,0,1675,1675,1.4
1786053986,268756,994029568,113432669840,57916047360,111710690000,1649,0,1687,1687,1.4
1786053996,267740,1349881856,114233253712,58273271808,112499116080,1648,0,1699,1699,1.4
1786054006,269072,1159901184,114983704910,58622058496,113238091200,1648,0,1710,1710,1.4
1786054017,267476,1432797184,115525720044,59030896640,113771854560,1650,0,1719,1719,1.4
1786054027,267084,915308544,116223584002,59455545344,114459048080,1651,0,1729,1729,1.4
1786054037,267896,1217626112,117054470372,59759026176,115277325280,1648,0,1742,1742,1.4
1786054047,267976,1173528576,117812187800,60119396352,116023471200,1649,0,1753,1753,1.4
1786054057,268176,1305792512,118533616316,60521922560,116733937840,1647,0,1764,1764,1.4
1786054067,269500,1074868224,119216673950,60964491264,117406536000,1651,0,1773,1773,1.4
1786054077,268872,1138888704,120010380488,61298515968,118188192720,1649,0,1785,1785,1.4
1786054087,268312,1248051200,120745298446,61677858816,118911911040,1649,0,1797,1797,1.4
1786054097,269384,1155686400,121156308992,61854887936,119316643680,1648,0,1803,1803,1.4
1786054107,267572,1178787840,121243812366,61878075392,119402817040,1648,0,1804,1804,1.4
1786054117,266880,1068580864,121337947634,61902315520,119495525760,1648,0,1806,1806,1.4
1786054127,268192,1155702784,121421787328,61989773312,119578090320,1648,0,1807,1807,1.4
1786054138,267792,1110560768,121497692762,62079336448,119652818480,1648,0,1808,1808,1.4
1786054148,268588,1130496000,121571624940,62234230784,119725616400,1650,0,1810,1810,1.4
1786054158,267496,1019232256,121649278280,62257414144,119802087600,1650,0,1811,1811,1.4
1786054168,267952,1040220160,121737989268,62278483968,119889450720,1650,0,1812,1812,1.4
1786054178,267148,1161994240,121808734678,62400724992,119959109920,1651,0,1812,1812,1.4
1786054188,268800,812449792,121883788052,62454460416,120033000880,1652,0,1815,1815,1.4
1786054198,268740,833441792,121973460404,62475534336,120121314560,1652,0,1816,1816,1.4
1786054208,268780,855482368,122069187860,62497660928,120215591600,1652,0,1816,1816,1.4
1786054218,269292,877527040,122162322836,62519791616,120307315440,1651,0,1818,1818,1.4
1786054228,267980,900620288,122254402868,62542970880,120398000320,1651,0,1820,1820,1.4
1786054238,268280,922669056,122348551604,62565105664,120490722560,1651,0,1821,1821,1.4
1786054248,269548,943661056,122440943156,62586179584,120581714240,1651,0,1822,1822,1.4
1786054259,270264,965697536,122531275508,62608302080,120670677920,1650,0,1825,1825,1.4
1786054269,268240,988790784,122625847700,62631485440,120763817200,1650,0,1825,1825,1.4
1786054279,269432,1076961280,122704093480,62720000000,120840876000,1650,0,1826,1826,1.4
1786054289,268340,1031827456,122785217756,62809567232,120920764640,1650,0,1827,1827,1.4
1786054299,268008,1053863936,122874065174,62831689728,121008247360,1649,0,1829,1829,1.4
1786054309,269904,939446272,122962672548,62851706880,121095502320,1649,0,1831,1831,1.4
1786054319,269464,961507328,123058415844,62873849856,121189794960,1649,0,1831,1831,1.4
1786054329,268740,984592384,123151980612,62897025024,121281942080,1649,0,1833,1833,1.4
1786054339,269332,1060159488,123238276786,62972887040,121366929840,1648,0,1835,1835,1.4
1786054349,269052,1094799360,123324120512,63007662080,121451451680,1648,0,1835,1835,1.4
1786054359,267468,1116856320,123413378672,63029800960,121539336880,1648,0,1836,1836,1.4
1786054370,269008,1003495424,123506264392,63050874880,121630810080,1648,0,1839,1839,1.4
1786054380,269576,1092706304,123590816176,63140433920,121714076640,1648,0,1840,1840,1.4
1786054390,269188,1180876800,123668727904,63228948480,121790779760,1650,0,1840,1840,1.4
1786054400,268200,1069608960,123757712832,63252127744,121878382080,1650,0,1843,1843,1.4
1786054410,268980,956243968,123852786234,63273201664,121971999760,1650,0,1844,1844,1.4
1786054420,269708,978288640,123948120858,63295332352,122065889920,1649,0,1844,1844,1.4
1786054430,268968,1002426368,124040376186,63319564288,122156747440,1649,0,1846,1846,1.4
1786054440,268880,1023426560,124133655834,63340642304,122248613760,1649,0,1847,1847,1.4
1786054450,269264,1045471232,124228235418,63362772992,122341760320,1649,0,1849,1849,1.4
1786054460,268316,1068560384,124320829722,63385952256,122432951680,1648,0,1850,1850,1.4
1786054470,268340,1089556480,124408888506,63407026176,122519676240,1648,0,1852,1852,1.4
1786054480,267348,1110560768,124498351770,63428108288,122607784000,1648,0,1853,1853,1.4
1786054490,269360,1064382464,124581348766,63516626944,122689518640,1648,0,1855,1855,1.4
1786054500,269496,1219727360,124651432828,63672573952,122758529920,1647,0,1855,1855,1.4
1786054511,269272,973053952,124741145168,63694700544,122846872720,1647,0,1856,1856,1.4
1786054521,270156,994045952,124835712080,63715774464,122940006800,1647,0,1859,1859,1.4
1786054531,270372,1053880320,124926758668,63775842304,123029673520,1647,0,1859,1859,1.4
1786054541,269900,1167233024,125002750398,63889637376,123104496320,1649,0,1861,1860,1.4
1786054551,270240,1059115008,125087077412,63915978752,123187518480,1649,0,1862,1862,1.4
1786054561,271040,948903936,125179089916,63940218880,123278127440,1649,0,1863,1863,1.4
1786054571,270208,1102155776,125247200500,64094060544,123345201200,1651,0,1864,1864,1.4
1786054581,270432,989843456,125332632446,64116191232,123429333040,1651,0,1866,1866,1.4
1786054591,270512,1010831360,125422268240,64137261056,123517607200,1651,0,1867,1867,1.4
1786054601,269960,898523136,125514335934,64159391744,123608278560,1651,0,1868,1868,1.4
1786054612,269204,921620480,125606937630,64182579200,123699477200,1650,0,1870,1870,1.4
1786054622,268952,943656960,125698171806,64204701696,123789329040,1650,0,1871,1871,1.4
1786054632,269532,964648960,125789943486,64225775616,123879710240,1650,0,1872,1872,1.4
1786054642,269284,1022377984,125877083870,64283729920,123965530000,1650,0,1874,1874,1.4
1786054652,270704,1072762880,125957430608,64334311424,124044640720,1650,0,1875,1875,1.4
